公式ID,カード名,種別,レアリティ,APIID,UnityアプリID
BP04-033,パン売りの少女,アタック,C,514,NCBP417
BP04-034,トリッキームーブ,アタック,C,515,NCBP418
BP04-035,進歩の光,アタック,C,516,NCBP419
BP04-036,ドラゴンブレス,アタック,UC,517,NCBP420
BP04-037,シンリャク開始,アタック,R,518,NCBP421
BP04-038,アナイアレーション,アタック,SR,519,NCBP422
BP04-039,大旋風,アタック,UC,520,NCBP423
BP04-040,眩い頂点,アタック,C,521,NCBP424
BP04-041,アースサーファー,アタック,R,522,NCBP425
BP04-042,マシュマロピッチャー,アタック,UC,523,NCBP426
BP04-043,オーバーグラビティ,アタック,C,524,NCBP427
BP04-044,ハイパーボルテージ,アタック,C,525,NCBP428
BP04-045,エリートコマンダー,メモリア,SR,526,NCBP429
BP04-046,もう一人のボク,メモリア,UC,527,NCBP430
BP04-047,ベッドでチキン,メモリア,C,528,NCBP431
BP04-048,入念な準備,メモリア,UC,529,NCBP432
BP04-049,なんだコイツ…,メモリア,C,530,NCBP433
BP04-050,ヤー！,メモリア,R,531,NCBP434
BP04-051,士官学校,メモリア,C,532,NCBP435
BP04-052,ダイナミックデュオ,メモリア,SR,533,NCBP436
BP04-053,穏やかな一時,メモリア,UC,534,NCBP437
BP04-054,放課後補習組,メモリア,C,535,NCBP438
BP04-055,懺悔のフリーフォール,メモリア,C,536,NCBP439
BP04-056,でからむち♪,メモリア,UC,537,NCBP440
BP04-057,シェフの一存,メモリア,C,538,NCBP441
BP04-058,「またね」,メモリア,R,539,NCBP442
BP04-059,グレイトフルファーマー,メモリア,SR,540,NCBP443
BP04-060,一蓮托生,メモリア,UC,541,NCBP444
BP04-061,通過儀礼,メモリア,C,542,NCBP445
BP04-062,OISタクシー,メモリア,UC,543,NCBP446
BP04-063,気合十分,メモリア,C,544,NCBP447
BP04-064,デンジャーゾーン,メモリア,R,545,NCBP448
BP04-065,雪降る夜に,メモリア,C,546,NCBP449
BP04-066,収穫の刻,メモリア,SR,547,NCBP450
BP04-067,リトルエンプレス,メモリア,UC,548,NCBP451
BP04-068,レッツゴー！,メモリア,C,549,NCBP452
BP04-069,深淵の強者たち,メモリア,C,550,NCBP453
BP04-070,淑女の回答,メモリア,C,551,NCBP454
BP04-071,快適な空の旅,メモリア,R,552,NCBP455
BP04-072,ペーパードライバー,メモリア,UC,553,NCBP456
BP04-073,サイバネアーマー,タクティクス,TSR,554,TC20_0
BP04-074,ドレインロッド,タクティクス,TR,555,TC15_0
BP04-075,盗賊キット,タクティクス,TR,556,TC12_0
BP04-076,アイテムショップ,タクティクス,TUC,557,TC21
BP04-077,一斉攻撃,タクティクス,TUC,558,TC22
BP04-078,攻撃要請,タクティクス,TUC,559,TC23
BP04-079,討伐クエスト,タクティクス,TUC,560,TC24
BP04-080,呪いの人形,タクティクス,TUC,561,TC25
BP04-082,うぉっか,リーダー,LRP,563,LC57
BP04-083,昏昏アリア,リーダー,LRP,564,LC58
BP04-084,夢野あかり,リーダー,LRP,565,LC59
BP04-085,らいじん,リーダー,LRP,566,LC60
BP04-086,うるか,リーダー,LRPP,567,LC1_1
BP04-087,緋月ゆい,リーダー,LRPP,568,LC43_1
BP04-088,神楽めあ,リーダー,LRP,569,LC61
BP04-089,白波らむね,リーダー,LRP,570,LC62
BP04-090,まざー3,リーダー,LRP,571,LC63
BP04-091,夜乃くろむ,リーダー,LRP,572,LC64
BP04-092,夜乃くろむ,リーダー,LRPP,573,LC64_1
BP04-093,小雀とと,リーダー,LRPP,574,LC9_1
BP04-094,おぼ,リーダー,LRP,575,LC65
BP04-095,千燈ゆうひ,リーダー,LRP,576,LC66
BP04-096,龍巻ちせ,リーダー,LRP,577,LC67
BP04-097,とおこ,リーダー,LRP,578,LC68
BP04-098,千燈ゆうひ,リーダー,LRPP,579,LC66_1
BP04-099,とおこ,リーダー,LRPP,580,LC68_1
BP04-100,乾伸一郎,リーダー,LRP,581,LC69
BP04-101,銀城サイネ,リーダー,LRP,582,LC70
BP04-102,じゃすぱー,リーダー,LRP,583,LC71
BP04-103,天帝フォルテ,リーダー,LRP,584,LC72
BP04-104,じゃすぱー,リーダー,LRPP,585,LC71_1
BP04-105,慈悲の刃,アタック,SRP,586,NCBP401_0
BP04-106,オーバードライブ,アタック,SRP,587,NCBP408_0
BP04-107,テラーエンゲージ,アタック,SRP,588,NCBP415_0
BP04-108,アナイアレーション,アタック,SRP,589,NCBP422_0
BP04-109,エリートコマンダー,メモリア,SRP,590,NCBP429_0
BP04-110,ダイナミックデュオ,メモリア,SRP,591,NCBP436_0
BP04-111,グレイトフルファーマー,メモリア,SRP,592,NCBP443_0
BP04-112,収穫の刻,メモリア,SRP,593,NCBP450_0
BP04-113,カウンタースナイプ,アタック,CP,594,NCBP120_0
BP04-114,強さの証明,アタック,CP,595,NCST103_0
